Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Display,Price
HP,Notebook,Windows,Inteli5,IntelHD,8,1.63,0,1.6,0.0,0.256,214.28571428571428,NonIPSFullHD,45820.8
Lenovo,Notebook,Windows,AmdA,AMDRadeon,4,2.2,0,2.5,0.0,0.128,192.30769230769232,NonIPSFullHD,21258.72
Acer,Notebook,Windows,AmdA,AMDRadeon,4,2.1,0,3.0,1.024,0.0,136.7948717948718,NonIPS,21045.6
Dell,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.65,0,2.8,1.024,0.128,192.30769230769232,IPSFullHD,71874.72
HP,Ultrabook,Windows,Inteli7,NvidiaGeForce,8,1.83,0,1.8,0.0,0.256,192.30769230769232,IPSFullHD,37242.72
HP,Notebook,Windows,Inteli5,IntelHD,8,1.96,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,31914.1872
Asus,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.2,0,2.8,1.024,0.128,192.30769230769232,IPSFullHD,77202.72
Dell,Ultrabook,Windows,Inteli7,IntelHD,8,1.21,0,1.8,0.0,0.256,225.56390977443607,IPSFullHD,87858.72
Asus,Gaming,Windows,AmdFX,AMDRadeon,8,2.45,0,3.0,1.024,0.0,192.30769230769232,NonIPSFullHD,37242.72
Acer,Notebook,Windows,Inteli7,NvidiaGeForce,8,2.2,0,1.8,1.024,0.0,192.30769230769232,NonIPSFullHD,36709.92
HP,Notebook,Windows,Inteli7,IntelHD,16,1.49,0,1.8,0.0,0.512,225.56390977443607,NonIPSFullHD,63776.16
Dell,Gaming,Windows,Inteli5,NvidiaGeForce,8,2.65,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,63669.6
Asus,Ultrabook,Windows,Inteli7,IntelHD,8,1.25,0,2.7,0.0,0.256,214.28571428571428,NonIPSFullHD,55890.72
Acer,2 in 1 Convertible,Windows,Inteli5,IntelHD,8,1.5,1,1.6,0.0,0.256,225.56390977443607,IPSFullHD,45128.16
Dell,Notebook,Linux,Inteli7,AMDRadeon,8,2.2,0,2.7,1.024,0.0,192.30769230769232,NonIPSFullHD,31962.672
Dell,Notebook,Linux,Inteli3,AMDRadeon,4,2.2,0,2.0,0.0,0.256,192.30769230769232,NonIPSFullHD,25840.8
Asus,Notebook,Windows,Inteli3,NvidiaGeForce,6,2.0,0,2.4,0.0,0.256,192.30769230769232,NonIPSFullHD,30742.56
HP,Gaming,Windows,Inteli7,NvidiaGeForce,12,2.62,0,2.8,1.024,0.128,192.30769230769232,IPSFullHD,66546.72
HP,Notebook,Windows,Inteli7,AMDRadeon,8,1.91,0,2.7,0.0,0.256,192.30769230769232,NonIPSFullHD,38308.32
HP,Notebook,Windows,AmdE,AMDRadeon,4,2.1,0,1.5,0.5,0.0,192.30769230769232,NonIPSFullHD,18594.72
Dell,Notebook,Linux,Inteli5,AMDRadeon,8,2.2,0,1.6,1.024,0.0,192.30769230769232,NonIPSFullHD,34472.16
HP,Ultrabook,Windows,Inteli7,NvidiaGeForce,8,1.38,0,2.7,0.0,0.256,225.56390977443607,IPSFullHD,59620.32
others,Ultrabook,Windows,Inteli5,IntelHD,8,1.252,1,2.5,0.0,0.256,278.51851851851853,NonIPS,71395.2
HP,Notebook,Windows,Inteli5,NvidiaGeForce,6,1.58,0,2.5,0.0,0.256,214.28571428571428,IPSFullHD,35111.52
Lenovo,Notebook,Windows,Inteli3,IntelHD,4,1.85,0,2.0,1.024,0.0,192.30769230769232,NonIPSFullHD,22105.872
Asus,Ultrabook,Windows,Inteli7,NvidiaGeForce,8,1.3,0,2.7,0.0,0.256,214.28571428571428,IPSFullHD,63563.04
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.2,0,2.8,1.024,0.256,192.30769230769232,NonIPSFullHD,69210.72
Lenovo,Notebook,Windows,Inteli7,IntelHD,8,1.58,0,2.7,0.0,0.256,214.28571428571428,IPSFullHD,78854.4
Asus,Ultrabook,Windows,Inteli7,NvidiaGeForce,16,1.5,0,1.8,1.024,0.256,192.30769230769232,NonIPSFullHD,67239.36
Dell,Ultrabook,Windows,Inteli7,IntelIris,8,1.23,1,2.4,0.0,0.256,375.9398496240601,NonIPSQuadHD+,73473.12
Lenovo,2 in 1 Convertible,Windows,Inteli5,IntelHD,8,1.37,1,2.5,0.0,0.256,225.56390977443607,IPSFullHD,74538.72
HP,Notebook,Windows,Inteli5,IntelHD,4,1.63,0,1.6,0.5,0.0,152.42857142857142,IPS,38468.16
Dell,Ultrabook,Windows,Inteli5,IntelHD,8,1.21,0,1.6,0.0,0.256,225.56390977443607,IPSFullHD,86793.12
HP,2 in 1 Convertible,Windows,Inteli5,IntelHD,8,1.26,1,1.6,0.0,0.256,225.56390977443607,IPSFullHD,74538.1872
HP,Notebook,Windows,Inteli7,IntelHD,8,1.63,0,1.8,0.0,0.512,214.28571428571428,NonIPSFullHD,57755.52
Dell,Notebook,Windows,Inteli7,NvidiaGeForce,8,2.16,0,1.8,1.024,0.256,192.30769230769232,IPSFullHD,60223.98239999999
Asus,Notebook,Windows,Inteli3,NvidiaGeForce,4,2.0,0,2.0,1.024,0.0,173.41040462427745,NonIPSFullHD,30049.92
Asus,Notebook,Windows,Inteli7,NvidiaGeForce,8,1.7,0,1.8,0.0,0.256,192.30769230769232,NonIPSFullHD,59567.04
Acer,Notebook,Windows,Inteli3,IntelHD,6,2.1,1,2.4,1.024,0.0,192.30769230769232,IPSFullHD,25521.12
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,16,1.8,0,2.8,2.048,0.256,192.30769230769232,NonIPSFullHD,119427.12
Lenovo,Notebook,Others,Inteli5,NvidiaGeForce,8,2.2,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,33513.119999999995
HP,Notebook,Windows,Inteli7,NvidiaGeForce,16,2.5,0,1.8,0.0,0.512,173.41040462427745,NonIPSFullHD,67718.88
Acer,Notebook,Windows,AmdA,AMDRadeon,4,2.1,0,3.0,0.0,0.256,136.7948717948718,NonIPS,24029.28
HP,Notebook,Others,IntelCeleron,IntelHD,4,1.86,0,1.6,0.5,0.0,136.7948717948718,NonIPS,13799.52
HP,Notebook,Windows,Inteli5,IntelHD,8,1.63,0,1.6,1.024,0.0,214.28571428571428,NonIPSFullHD,43263.36
Asus,Notebook,Windows,AmdE,AMDRadeon,4,1.65,0,1.5,0.0,0.064,152.42857142857142,NonIPS,14811.3072
Dell,Notebook,Windows,Inteli7,AMDRadeon,16,2.8,0,1.8,2.048,0.256,173.41040462427745,NonIPSFullHD,74378.87999999999
HP,Notebook,Windows,Inteli5,IntelHD,8,2.5,0,1.6,0.0,0.256,173.41040462427745,NonIPSFullHD,49443.84
Dell,Notebook,Windows,Inteli5,AMDRadeon,8,2.36,0,2.5,1.024,0.0,136.7948717948718,NonIPS,34045.3872
Dell,Notebook,Windows,Inteli3,AMDRadeon,4,2.2,0,2.0,1.024,0.0,192.30769230769232,NonIPSFullHD,23922.72
Acer,Ultrabook,Windows,Inteli7,IntelHD,8,1.6,0,1.8,0.0,0.256,214.28571428571428,IPSFullHD,47099.52
Acer,Notebook,Windows,Inteli3,NvidiaGeForce,4,2.2,0,2.7,0.0,0.256,192.30769230769232,NonIPSFullHD,30476.16
HP,Notebook,Windows,Inteli7,IntelHD,8,2.05,0,2.7,1.024,0.0,136.7948717948718,NonIPS,31861.44
HP,Notebook,Windows,Inteli7,IntelHD,8,1.63,0,1.8,0.0,0.256,214.28571428571428,NonIPSFullHD,52640.64
Lenovo,Notebook,Others,IntelCeleron,IntelHD,4,1.9,0,1.1,1.024,0.0,136.7948717948718,NonIPS,13445.7408
Asus,Gaming,Windows,Inteli5,NvidiaGeForce,8,3.0,0,2.5,1.024,0.128,173.41040462427745,NonIPSFullHD,49976.64
Lenovo,Notebook,Others,Inteli5,NvidiaGeForce,4,2.2,0,2.5,1.024,0.0,192.30769230769232,NonIPSFullHD,26586.72
HP,Notebook,Windows,Inteli5,IntelHD,4,1.32,0,2.5,0.0,0.256,225.56390977443607,IPSFullHD,37242.72
Acer,Notebook,Windows,Inteli3,NvidiaGeForce,4,3.0,0,2.7,1.024,0.0,173.41040462427745,IPSFullHD,34898.4
Lenovo,Notebook,Windows,Inteli5,AMDRadeon,8,1.75,0,1.6,0.0,0.256,214.28571428571428,IPSFullHD,59461.5456
Lenovo,Gaming,Others,Inteli7,NvidiaGeForce,8,2.4,0,2.8,0.0,0.256,192.30769230769232,IPSFullHD,46300.32
Toshiba,Notebook,Windows,Inteli5,IntelHD,4,2.1,0,2.3,0.5,0.0,136.7948717948718,NonIPS,32074.56
HP,Notebook,Windows,AmdA,AMDRadeon,4,1.86,0,2.5,0.0,0.256,136.7948717948718,NonIPS,19660.32
Asus,Ultrabook,Windows,Inteli7,IntelHD,8,1.25,0,1.8,0.0,0.256,214.28571428571428,NonIPSFullHD,58554.72
HP,Ultrabook,Windows,IntelM,IntelHD,8,0.97,1,1.2,0.0,0.512,480.0,IPS4KUltraHD,107305.92
Asus,Notebook,Windows,IntelCeleron,IntelHD,4,2.0,0,1.1,1.024,0.0,192.30769230769232,NonIPSFullHD,18328.32
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.9,0,2.8,1.024,0.256,173.41040462427745,NonIPSFullHD,108105.12
Acer,Notebook,Windows,Inteli3,IntelHD,4,2.1,0,2.0,1.024,0.0,136.7948717948718,NonIPS,23816.16
Dell,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.56,0,2.8,0.0,0.512,192.30769230769232,NonIPSFullHD,66560.5728
Dell,Gaming,Windows,Inteli7,NvidiaGeForce,8,2.62,0,2.8,0.0,0.0,192.30769230769232,NonIPSFullHD,47898.72
Lenovo,Notebook,Windows,Inteli5,IntelHD,4,1.9,0,2.5,0.0,0.128,136.7948717948718,NonIPS,26533.44
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.8,0,2.8,1.024,0.256,173.41040462427745,NonIPSFullHD,100699.2
HP,Ultrabook,Windows,Inteli5,IntelHD,4,1.48,0,2.7,0.0,0.256,214.28571428571428,NonIPSFullHD,57648.96
HP,Notebook,Windows,Inteli5,AMDRadeon,6,1.91,0,1.6,0.0,0.256,192.30769230769232,NonIPSFullHD,32980.32
Lenovo,2 in 1 Convertible,Windows,Inteli3,IntelHD,4,1.74,1,2.4,0.0,0.256,214.28571428571428,IPSFullHD,33513.119999999995
Asus,2 in 1 Convertible,Windows,Inteli5,IntelHD,8,1.1,1,1.6,0.0,0.256,225.56390977443607,NonIPSFullHD,70063.2
Dell,2 in 1 Convertible,Windows,Inteli7,IntelHD,8,1.56,1,1.8,0.0,0.256,192.30769230769232,NonIPSFullHD,55890.72
Toshiba,Notebook,Windows,Inteli3,IntelHD,4,2.1,0,2.2,0.5,0.0,136.7948717948718,NonIPS,23816.16
Asus,Notebook,Windows,AmdA,AMDRadeon,4,2.03,0,3.0,1.024,0.0,136.7948717948718,NonIPS,21471.84
Acer,Notebook,Windows,Inteli5,NvidiaGeForce,4,3.0,0,1.6,0.0,0.256,173.41040462427745,IPSFullHD,42890.4
Dell,Notebook,Windows,Inteli5,AMDRadeon,8,2.13,0,1.6,0.0,0.256,192.30769230769232,NonIPSFullHD,38787.84
Lenovo,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.5,0,2.8,0.0,0.256,192.30769230769232,IPSFullHD,57489.12
Acer,Notebook,Windows,IntelCeleron,IntelHD,4,2.1,0,1.1,1.024,0.0,136.7948717948718,NonIPS,18541.44
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.4,0,2.8,1.024,0.256,192.30769230769232,IPSFullHD,95850.72
Acer,Notebook,Windows,IntelPentium,IntelHD,4,2.1,0,1.1,1.024,0.0,136.7948717948718,NonIPS,19367.8128
Dell,Gaming,Windows,Inteli7,NvidiaGeForce,8,2.56,0,2.8,1.024,0.128,192.30769230769232,NonIPSFullHD,56502.9072
Acer,Notebook,Windows,Inteli5,NvidiaGeForce,8,3.0,0,1.6,0.0,0.256,173.41040462427745,IPSFullHD,45501.12
HP,Notebook,Windows,Inteli5,IntelHD,4,1.49,0,1.6,0.5,0.0,225.56390977443607,IPSFullHD,40173.12
others,Ultrabook,Windows,Inteli5,IntelHD,8,1.05,0,2.5,0.0,0.256,276.9230769230769,IPSFullHD,71874.72
HP,Notebook,Windows,Inteli5,AMDRadeon,6,2.71,0,2.5,2.048,0.0,173.41040462427745,IPSFullHD,37242.72
Lenovo,Notebook,Others,AmdA,AMDRadeon,4,2.2,0,2.9,0.5,0.0,136.7948717948718,NonIPS,16463.52
Toshiba,Notebook,Windows,Inteli3,IntelHD,4,2.0,0,2.4,0.5,0.0,136.7948717948718,NonIPS,26053.92
HP,Notebook,Windows,Inteli5,NvidiaGeForce,8,2.5,0,1.6,0.0,0.256,173.41040462427745,NonIPSFullHD,49177.44
Dell,Notebook,Windows,Inteli3,IntelHD,8,2.3,0,2.4,1.024,0.0,136.7948717948718,NonIPS,24455.52
Acer,Notebook,Windows,Inteli3,IntelHD,4,2.1,0,2.0,0.0,0.128,136.7948717948718,NonIPS,23922.72
MSI,Gaming,Windows,Inteli7,NvidiaGeForce,32,4.4,0,2.9,1.024,0.512,163.0434782608696,NonIPSFullHD,149130.72
Lenovo,Notebook,Windows,Inteli5,AMDRadeon,8,1.9,0,2.5,1.024,0.128,192.30769230769232,NonIPSFullHD,43316.64
HP,2 in 1 Convertible,Windows,Inteli5,IntelHD,8,1.29,1,1.6,0.0,0.256,451.12781954887214,IPS4KUltraHD,79866.72
Dell,Notebook,Linux,Inteli7,AMDRadeon,16,2.02,0,1.8,2.048,0.256,192.30769230769232,NonIPSFullHD,55890.72
Dell,Ultrabook,Windows,Inteli5,IntelHD,8,1.23,0,1.6,0.0,0.256,225.56390977443607,NonIPSFullHD,74538.72
Lenovo,2 in 1 Convertible,Windows,Inteli7,IntelHD,16,1.4,1,1.8,0.0,0.512,431.6546762589928,IPS4KUltraHD,98514.72
Toshiba,Notebook,Windows,Inteli5,IntelHD,8,2.0,0,2.5,0.0,0.128,136.7948717948718,NonIPS,42251.04
others,Notebook,Others,Inteli5,NvidiaGeForce,8,1.95,0,1.6,0.0,0.256,192.30769230769232,IPSFullHD,63882.72
Dell,Notebook,Windows,Inteli7,NvidiaGeForce,16,2.77,1,1.8,0.0,0.512,173.41040462427745,NonIPSFullHD,82530.72
Dell,Notebook,Windows,Inteli7,NvidiaGeForce,16,2.06,1,2.8,0.0,0.512,384.61538461538464,NonIPS4KUltraHD,127712.16
Lenovo,Gaming,Others,Inteli5,NvidiaGeForce,8,2.4,0,2.5,0.0,0.256,192.30769230769232,IPSFullHD,41505.12
